timestamp,condo_name,floor_original,floor_zscore,floor_iqr,floor,total_floor_original,total_floor_zscore,total_floor_iqr,total_floor,district,chatuchak,bangna,ramintra,samrong,laksi,phayathai,sukhumvit_42,phasi_charoen,thonburi,samutprakarn_city,bangkokyai,bangkhae,praram_2,bangkhen,suanluang,chomthong,klongsan,room_size_original,room_size_zscore,room_size_iqr,room_size,bts_distance_original,bts_distance_zscore,bts_distance_iqr,bts_distance,parking_car_per_room,fitnest,fitnest_binary,swim_pool,swim_pool_binary,shopping_mall_distance_original,shopping_mall_distance_zscore,shopping_mall_distance_iqr,shopping_mall_distance,toll_distance_original,toll_distance_zscore,toll_distance_iqr,toll_distance,security_system,guard,key_card,cctv,face_scan,common_fee_charge_original,common_fee_charge_zscore,common_fee_charge_iqr,common_fee_charge,bed_room_no_original,bed_room_no_zscore,bed_room_iqr,bed_room,bathroom_no_original,bathroom_no_zscore,bathroom_no_iqr,bathroom_no,total_funiture_price_original,total_funiture_price_zscore,total_funiture_price_iqr,total_funiture_price,owner_name,cost_estimate_original,cost_estimate_zscore,cost_estimate_iqr,cost_estimate,year_built_original,year_built_zscore,year_built_iqr,year_built,price
2019/04/05 1:49:07 PM GMT+7,Bangkok Horizon Ratchada-Thaphra,8.00,-0.03,8.00,0.07,30.00,1.21,30.00,1.21,ธนบุรี,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.00,-0.11,33.00,0.06,1.10,-0.45,1.10,-0.52,253,มี,1,มี,1,0.90,-0.56,0.90,-0.78,7.90,0.23,7.90,0.26,รปภ;กล้องวงจรปิด,1,0,1,0,1023.00,-0.34,1023.00,-0.33,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,บริษัท เจ้าพระยามหานคร จำกัด (มหาชน),69697.00,-0.54,69697.00,-0.95,2557,-0.38,2557,-0.38,2300000.00
2019/04/05 1:57:22 PM GMT+7,เดอะทรัสต์ คอนโด แอท บีทีเอส เอราวัณ,28.00,3.42,17.50,2.15,30.00,1.21,30.00,1.21,เมืองสมุทรปราการ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.50,-0.45,28.50,-0.49,0.50,-0.59,0.50,-0.79,471,มี,1,มี,1,5.90,1.32,5.90,2.40,1.70,-1.15,1.70,-1.18,คีย์การ์ด;กล้องวงจรปิด,0,1,1,0,1566.00,0.31,1566.00,0.53,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,บริษัท เดอะ คอนฟิเด้นซ์ จำกัด,94178.00,-0.31,94178.00,-0.38,2558,-0.02,2558,-0.02,2750000.00
2019/04/05 3:50:07 PM GMT+7,The Estate @ Thapra ดิ เอสเตท แอท ท่าพระ,8.00,-0.03,8.00,0.07,8.00,-1.01,8.00,-1.01,บางกอกใหญ่ ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.46,-0.45,28.46,-0.50,2.70,-0.06,2.70,0.20,1,มี,1,มี,1,2.90,0.19,2.90,0.50,8.50,0.36,8.50,0.40,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,360.00,-1.15,360.00,-1.38,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1460000.00,0.15,1460000.00,0.39,บริษัท ดิเอสเตท จำกัด,57976.00,-0.65,57976.00,-1.22,2555,-1.10,2555,-1.10,1650000.00
2019/04/05 4:05:45 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,2.00,-1.06,2.00,-1.25,22.00,0.40,22.00,0.40,บางกอกใหญ่ ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27.00,-0.56,27.00,-0.68,2.20,-0.18,2.20,-0.02,1,มี,1,มี,1,2.00,-0.15,2.00,-0.08,5.30,-0.35,5.30,-0.35,รปภ;กล้องวงจรปิด,1,0,1,0,1215.00,-0.11,1215.00,-0.03,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,2900000.00,1.12,2900000.00,1.80,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),107407.00,-0.19,107407.00,-0.07,2559,0.34,2559,0.34,2900000.00
2019/04/05 4:08:17 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,10.00,0.32,10.00,0.51,22.00,0.40,22.00,0.40,บางกอกใหญ่ ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.00,-0.04,34.00,0.19,2.10,-0.20,2.10,-0.07,1,มี,1,มี,1,2.00,-0.15,2.00,-0.08,5.30,-0.35,5.30,-0.35,รปภ;กล้องวงจรปิด,1,0,1,0,1530.00,0.27,1530.00,0.47,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,4491000.00,2.20,3075000.00,1.97,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),132088.00,0.04,132088.00,0.50,2559,0.34,2559,0.34,4491000.00
2019/04/05 4:10:33 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,22.00,2.38,17.50,2.15,22.00,0.40,22.00,0.40,บางกอกใหญ่ ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63.00,2.14,47.75,1.88,2.10,-0.20,2.10,-0.07,2,มี,1,มี,1,2.00,-0.15,2.00,-0.08,5.30,-0.35,5.30,-0.35,รปภ;กล้องวงจรปิด,1,0,1,0,2835.00,1.85,2570.00,2.12,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,6500000.00,3.56,3075000.00,1.97,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),103174.00,-0.23,103174.00,-0.17,2559,0.34,2559,0.34,6500000.00
2019/04/05 8:15:46 PM GMT+7,The Prodigy,11.00,0.49,11.00,0.73,33.00,1.51,33.00,1.51,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.50,0.00,34.50,0.25,6.70,0.92,6.25,1.81,1,มี,1,มี,1,1.00,-0.52,1.00,-0.71,6.70,-0.04,6.70,-0.02,รปภ;คีย์การ์ด,1,1,0,0,1500.00,0.23,1500.00,0.42,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,2900000.00,1.12,2900000.00,1.80,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,83000.00,-0.41,83000.00,-0.64,2558,-0.02,2558,-0.02,2900000.00
2019/04/05 8:20:45 PM GMT+7,The prodigy,6.00,-0.37,6.00,-0.37,33.00,1.51,33.00,1.51,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51.00,1.24,47.75,1.88,6.70,0.92,6.25,1.81,2,มี,1,มี,1,1.00,-0.52,1.00,-0.71,10.00,0.70,10.00,0.75,รปภ;คีย์การ์ด,1,1,0,0,1500.00,0.23,1500.00,0.42,2.00,1.92,1.00,0.00,1.00,-0.25,1.00,0.00,3978400.00,1.85,3075000.00,1.97,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,78780.00,-0.45,78780.00,-0.74,2553,-1.81,2553,-1.81,3978400.00
2019/04/05 8:33:26 PM GMT+7,The Niche Bangkae,8.00,-0.03,8.00,0.07,8.00,-1.01,8.00,-1.01,บางแค,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27.00,-0.56,27.00,-0.68,1.00,-0.47,1.00,-0.56,1,มี,1,มี,1,1.50,-0.33,1.50,-0.39,13.00,1.36,13.00,1.45,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1231.00,-0.09,1231.00,0.00,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1500000.00,0.18,1500000.00,0.43,SENA Development,55556.00,-0.67,55556.00,-1.28,2553,-1.81,2553,-1.81,1500000.00
2019/04/05 8:39:03 PM GMT+7,The Niche Bangkae,5.00,-0.54,5.00,-0.59,8.00,-1.01,8.00,-1.01,บางแค,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.50,-0.30,30.50,-0.24,1.00,-0.47,1.00,-0.56,1,มี,1,มี,1,1.50,-0.33,1.50,-0.39,13.00,1.36,13.00,1.45,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1390.00,0.10,1390.00,0.25,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1960000.00,0.49,1960000.00,0.88,SENA Development,64262.00,-0.59,64262.00,-1.08,2553,-1.81,2553,-1.81,1960000.00
